    10		       187	       184	       112	         7	       367	       232	       147	        52	       555	       122	        53	       143	        26	        32	        14	         0	        36	        36	        45	        16	        50	        23	        21	        46	        25	         2	        73	         1	        57	         6	       131	        35	       115	        12	        72	       151
    11		       156	       191	       105	         7	       377	       231	       178	        62	       598	       132	        44	       122	        14	        33	        17	         1	        44	        59	        33	        15	        57	        16	        21	        53	        27	         1	        82	         0	        60	        10	       145	        35	        92	         3	        80	       165
    12		       165	       184	        97	         7	       368	       295	       155	        49	       588	       135	        43	       150	        27	        36	        10	         1	        44	        32	        38	        15	        50	        20	        18	        49	        15	         8	        81	         0	        74	         5	       138	        32	        86	         5	        69	       167
    13		       153	       175	       111	         3	       414	       236	       147	        52	       578	       130	        43	       134	        23	        41	        14	         0	        50	        57	        31	        13	        57	        23	        14	        43	        15	         4	        67	         2	        65	         8	       136	        40	        70	        10	        81	       144
    14		       163	       180	        95	         1	       391	       244	       163	        42	       559	       113	        50	       145	        25	        41	        12	         0	        50	        40	        35	         6	        41	        16	        17	        46	        40	         6	        58	         3	        60	         4	       121	        37	        78	         5	        59	       114
    15		       161	       160	       111	         3	       382	       248	       182	        56	       592	       156	        54	       136	        18	        47	        13	         0	        44	        41	        38	        15	        59	        22	        22	        47	        31	         4	        63	         4	        61	        11	       142	        36	        64	         6	        59	       136
    16		       176	       163	        87	         0	       357	       268	       155	        58	       556	       138	        46	       128	        17	        32	        14	         1	        46	        46	        33	        14	        50	        22	        24	        53	        23	         4	        64	         3	        70	        10	       145	        44	        81	         2	        71	       145
    17		       148	       190	       106	         3	       412	       255	       157	        61	       604	       133	        42	       133	        18	        39	        14	         0	        38	        51	        38	        12	        44	        19	        14	        44	        30	         4	        62	         2	        59	         7	       132	        41	        92	         6	        70	       145
    18		       167	       195	       106	         3	       379	       237	       176	        50	       560	       143	        55	       120	        16	        34	        16	         0	        33	        22	        55	        18	        51	        14	        14	        54	        23	         3	        74	         1	        57	         5	       135	        29	        85	        10	        67	       175
    19		       166	       168	       124	         1	       364	       255	       159	        45	       583	       147	        38	       121	        17	        46	        14	         0	        44	        38	        28	        15	        50	        18	        21	        57	        24	         4	        68	         1	        55	         7	       148	        38	        79	        12	        76	       157
    20		       166	       172	       102	         5	       399	       269	       159	        53	       570	       121	        55	       137	        19	        26	        14	         0	        53	        41	        38	         5	        43	        20	        23	        44	        21	         3	        73	         0	        68	         2	       138	        36	        88	        10	        79	       147
    21		       177	       205	       101	         4	       379	       279	       166	        51	       574	       127	        48	       133	        21	        33	        14	         0	        52	        52	        36	        15	        42	        26	        22	        46	        29	         2	        78	         2	        56	         6	       126	        37	        80	         3	        55	       173
    22		       158	       183	       101	         2	       385	       255	       150	        51	       571	       160	        57	       145	        22	        37	        12	         0	        52	        39	        29	         4	        53	        17	        18	        57	        35	         4	        61	         0	        45	        11	       126	        40	        88	         4	        58	       142
    23		       164	       191	        98	         2	       357	       272	       154	        51	       612	       129	        45	       129	        25	        32	        13	         1	        54	        46	        39	         9	        49	        13	        20	        52	        26	         6	        59	         1	        60	         7	       149	        45	        72	         8	        55	       148
    24		       169	       166	        94	         5	       380	       262	       149	        69	       539	       142	        36	       160	        21	        30	        18	         0	        56	        49	        47	        12	        63	        13	        15	        39	        32	         3	        75	         4	        59	        10	       127	        45	        76	        10	        62	       151
    25		       178	       192	       103	         2	       382	       255	       149	        56	       549	       133	        45	       135	        27	        33	        17	         1	        52	        45	        20	         5	        45	        15	        21	        51	        28	         4	        79	         0	        60	         3	       137	        40	        74	         8	        68	       145
    26		       147	       185	       100	         4	       359	       282	       179	        61	       570	       109	        42	       109	        19	        43	        10	         0	        48	        42	        24	        13	        59	        20	        20	        55	        25	         8	        68	         3	        59	         4	       130	        40	        75	         5	        67	       176
